,name,addr1,addr2,tel,urls
0,더청담,서울 강남구 도산대로 434,(지번) 청담동 4,02-518-8001,http://www.thecheongdam.com
1,드레스가든,서울 강남구 영동대로 707,(지번) 청담동 71-8,02-512-1000,http://www.dressgarden.co.kr
2,빌라드지디 청담,서울 강남구 학동로 519,(지번) 청담동 73-4,02-542-7513,#none
3,더클래스 청담,서울 강남구 압구정로60길 17-5 1층,(지번) 청담동 82-4,02-516-3636,http://www.theclasscheongdam.com/
4,더발렌티,서울 강남구 영동대로 728,(지번) 청담동 131-16,02-512-7897(팩스),http://thevalenti.kr
5,호텔리베라 웨딩홀,서울 강남구 영동대로 737,(지번) 청담동 53-7,,#none
6,프리마웨딩,서울 강남구 도산대로 536,(지번) 청담동 52-3,02-6006-9201,http://www.prima.co.kr/2005/wedding/wedding_main.asp
7,VIP웨딩홀,서울 강남구 도산대로56길 3,(지번) 청담동 2-1,,#none
8,루카511웨딩,서울 강남구 도산대로81길 40,(지번) 청담동 115-16,02-6083-8522,https://luka511.modoo.at/
9,에이치케이웨딩,서울 강남구 학동로 519,(지번) 청담동 73-4,02-542-7513,#none
10,에스오에스웨딩,"서울 강남구 도산대로 506 재정빌딩 302호,402호",(지번) 청담동 48-2,,http://www.sosweddinghall.com
11,더채플앳청담,서울 강남구 선릉로 757 6층,(지번) 논현동 94-9,02-421-1121,http://www.thechapel.co.kr
12,마리아쥬스퀘어,서울 강남구 도산대로 318 SB타워 G층,(지번) 논현동 92,02-541-5007,http://www.mariagesquare.com
13,유모멘트,서울 강남구 선릉로145길 11 일신빌딩 2층,(지번) 논현동 99-32,,http://www.thechapel.co.kr
14,벨라 청담,서울 강남구 압구정로46길 35 지하 1층,(지번) 신사동 642-20,02-540-8888,#none
15,(주)앤브이홀딩스,서울 강남구 학동로47길 28,(지번) 논현동 109-2,,#none
16,월드브라이들,서울 강남구 압구정로42길 11,(지번) 신사동 640,02-546-8046,http://blog.naver.com/worldbridal
17,바로웨드,서울 강남구 삼성로 709 명보빌딩 5층,(지번) 청담동 47-2,02-3470-3600,https://www.instagram.com/barrowed_official/
18,디자인웨딩,서울 강남구 도산대로 326 대동타워 8층,(지번) 논현동 93,02-548-9922,https://designwedding.net
