,name,addr1,addr2,tel,urls
0,더채플앳청담,서울 강남구 선릉로 757 6층,(지번) 논현동 94-9,02-421-1121,http://www.thechapel.co.kr
1,컨벤션헤리츠,서울 강남구 논현로 662,(지번) 논현동 215,02-536-4000,http://www.heritz.co.kr
2,라온제나 강남,서울 강남구 학동로47길 5,(지번) 논현동 117-7,,http://라온제나강남.com
3,빌라드지디 강남,서울 강남구 언주로126길 23,(지번) 논현동 247-4,02-547-3381,http://www.gangnamvilladegd.com/
4,마리아쥬스퀘어,서울 강남구 도산대로 318 SB타워 G층,(지번) 논현동 92,02-541-5007,http://www.mariagesquare.com
5,셀럽앤어셈,"서울 강남구 언주로 711 건설회관 본관 2층,지하1층, 별관 1,2층",(지번) 논현동 71-2,02-545-2222,http://www.fs-cna.com
6,엘리에나호텔 웨딩홀,서울 강남구 논현로 645,(지번) 논현동 152,02-3443-5670,http://elienahotel.com/
7,슈슈몽드,서울 강남구 도산대로38길 30 1층,(지번) 논현동 72-7,031-8027-0055,https://www.chouchoumonde.co.kr/
8,토브헤세드,서울 강남구 도산대로38길 32,(지번) 논현동 72-8,02-516-2300,http://www.tovhesed.com
9,온즈드롬크리에이티브,서울 강남구 언주로148길 5,(지번) 논현동 97-22,,#none
10,유모멘트,서울 강남구 선릉로145길 11 일신빌딩 2층,(지번) 논현동 99-32,,http://www.thechapel.co.kr
11,아넬로,서울 강남구 논현로 662,(지번) 논현동 215,02-536-4000,http://www.heritz.co.kr/
12,(주)앤브이홀딩스,서울 강남구 학동로47길 28,(지번) 논현동 109-2,,#none
13,전국예식장경영자총연합회,서울 강남구 봉은사로 121 3층,(지번) 논현동 202-11,,#none
14,이내유,서울 강남구 도산대로38길 30,(지번) 논현동 72-7,,#none
15,더채플앳논현,서울 강남구 논현로 549 5층 라메르홀,(지번) 역삼동 607-21,02-562-1121,http://www.thechapel.co.kr/
16,삼정호텔 아도니스홀,서울 강남구 봉은사로 150,(지번) 역삼동 604-7,02-557-0292,#none
17,라움아트센터,서울 강남구 언주로 564,(지번) 역삼동 680-1,02-538-3366,https://www.theraum.co.kr/
18,메리스에이프럴,서울 강남구 봉은사로16길 31,(지번) 역삼동 614-7,02-514-3676,http://www.marysapril.co.kr
19,벨라비타컨벤션,서울 강남구 봉은사로 302,(지번) 역삼동 680,02-564-7031,https://www.bellavitawed.com
20,더라움웨딩홀,"서울 강남구 언주로 564 3,4층",(지번) 역삼동 680-1,02-538-3366,https://www.theraum.co.kr
21,더컨벤션 신사,서울 강남구 강남대로 652,(지번) 신사동 504-11,02-6081-5000,#none
22,더채플앳논현 라포레홀,서울 강남구 논현로 549 6층,(지번) 역삼동 607-21,,#none
23,삼정호텔 킹홀,서울 강남구 봉은사로 150 2층,(지번) 역삼동 604-11,02-557-1221,#none
24,삼정호텔 라벤더홀,서울 강남구 봉은사로 150 2층,(지번) 역삼동 604-11,02-557-0292,#none
25,더 리버사이드 호텔 웨딩홀,서울 서초구 강남대로107길 6 본관 7층,(지번) 잠원동 6-1,02-6710-1188,http://www.riversidehotel.co.kr/
26,아모르하우스,서울 강남구 테헤란로13길 33,(지번) 역삼동 633-31,02-562-6936,http://www.amorehouse.co.kr
27,마리드블랑,서울 강남구 언주로 517,(지번) 역삼동 675-3,,http://mblanc.co.kr
28,SC컨벤션센터,서울 강남구 테헤란로7길 22 한국과학기술회관 1관,(지번) 역삼동 635-2,02-569-7600,http://www.scconvention.co.kr/gangnam
29,엘페르티,서울 서초구 강남대로 563,(지번) 잠원동 37-1,,#none
30,아모리스 역삼GS타워점,서울 강남구 논현로 508 GS타워 1층,(지번) 역삼동 679-1,02-2005-1010,http://www.amoris.co.kr/
31,제우스웨딩홀,서울 서초구 강남대로 577,(지번) 잠원동 28-10,,#none
32,비본웨딩,서울 강남구 논현로168길 36 안국빌딩 3층,(지번) 신사동 595-1,,http://cafe.naver.com/wedclub
33,메종드비,"서울 강남구 논현로 842 지하1,2층",(지번) 신사동 599-4,02-3416-0020,http://www.maisondeb.co.kr/
34,상록아트홀,서울 강남구 언주로 508 상록회관 5층,(지번) 역삼동 701,02-564-5757,http://srwedding.co.kr/
35,W웨딩컨설팅,서울 강남구 논현로 842,(지번) 신사동 599,02-3444-0363,http://www.wearew.com
36,웨딩순,서울 강남구 선릉로 578,(지번) 삼성동 112,,#none
37,스카이시티컨벤션센터,서울 강남구 테헤란로7길 22,(지번) 역삼동 635-2,02-2064-3333,#none
38,VIP웨딩홀,서울 강남구 도산대로56길 3,(지번) 청담동 2-1,,#none
39,더청담,서울 강남구 도산대로 434,(지번) 청담동 4,02-518-8001,http://www.thecheongdam.com
40,역삼동안녹아트흘,서울 강남구 언주로 508,(지번) 역삼동 701,02-560-2222,#none
41,상트아트홀,서울 강남구 언주로 508,(지번) 역삼동 701,02-562-7887,#none
42,아펠가모 선릉점,서울 강남구 테헤란로 322 한신인터밸리24빌딩 4층,(지번) 역삼동 707-34,02-2183-0230,http://www.apelgamo.com
43,라비돌웨딩강남,서울 강남구 논현로79길 72,(지번) 역삼동 828-10,02-538-3300,http://laviedorwedding.com
44,더클래스 청담,서울 강남구 압구정로60길 17-5 1층,(지번) 청담동 82-4,02-516-3636,http://www.theclasscheongdam.com/
45,피에스타귀족 강남점,서울 강남구 테헤란로 406 샹제리제센터 1층,(지번) 대치동 889-5,02-501-7000,http://www.fiestawed.co.kr/
46,더휴웨딩홀,서울 강남구 테헤란로 407 EK타워 2층,(지번) 삼성동 141-31,02-6188-0188,http://www.thehuewedding.com
47,더라빌,서울 강남구 봉은사로 531,(지번) 삼성동 73,02-541-8000,http://www.thelaville.com
48,벨라 청담,서울 강남구 압구정로46길 35 지하 1층,(지번) 신사동 642-20,02-540-8888,#none
49,빌라드지디 청담,서울 강남구 학동로 519,(지번) 청담동 73-4,02-542-7513,#none
50,드레스가든,서울 강남구 영동대로 707,(지번) 청담동 71-8,02-512-1000,http://www.dressgarden.co.kr
51,라비돌웨딩강남 오뗄홀,서울 강남구 논현로79길 72 2층,(지번) 역삼동 828-10,,http://laviedorwedding.com
52,라플레이스,서울 강남구 테헤란로 424,(지번) 대치동 891,02-6339-0466,#none
53,삼성전자빌딩 다목적홀,서울 서초구 서초대로74길 11 삼성전자빌딩 5층,(지번) 서초동 1320-10,,#none
54,애일리하우스,"서울 강남구 압구정로11길 37-53 지하1층, 1,2층",(지번) 압구정동 379,02-515-7364,http://www.aileyhouse.kr
55,아모리스 강남메리츠타워점,서울 강남구 강남대로 382 메리츠타워 지하 1층,(지번) 역삼동 825-2,1644-2677,http://www.amoris.co.kr
56,아파트먼트99,서울 강남구 봉은사로68길 35-3,(지번) 삼성동 123-22,02-557-5456,http://apartment99.co.kr
57,더발렌티,서울 강남구 영동대로 728,(지번) 청담동 131-16,02-512-7897(팩스),http://thevalenti.kr
58,더그레이스,서울 강남구 선릉로 521 영신빌딩,(지번) 역삼동 696-39,02-550-5402,#none
59,소노펠리체컨벤션,서울 강남구 테헤란로87길 22 공항터미널 3층,(지번) 삼성동 159-6,02-2222-7401,http://www.sonofeliceconvention.com
60,아펠가모 반포점,서울 서초구 반포대로 235 효성빌딩 지하2층,(지번) 반포동 63-7,02-3431-0230,http://www.apelgamo.com
61,서울법원종합청사 후생관,서울 서초구 서초중앙로 157,(지번) 서초동 1701-1,02-530-1193,#none
62,호텔리베라 웨딩홀,서울 강남구 영동대로 737,(지번) 청담동 53-7,,#none
63,스카이뷰 섬유센터웨딩홀,서울 강남구 테헤란로 518 17층,(지번) 대치동 944-31,02-528-4098,https://syouweddinghall.modoo.at
64,월드브라이들,서울 강남구 압구정로42길 11,(지번) 신사동 640,02-546-8046,http://blog.naver.com/worldbridal
65,프리마웨딩,서울 강남구 도산대로 536,(지번) 청담동 52-3,02-6006-9201,http://www.prima.co.kr/2005/wedding/wedding_main.asp
66,루카511웨딩,서울 강남구 도산대로81길 40,(지번) 청담동 115-16,02-6083-8522,https://luka511.modoo.at/
67,가자웨딩홀,서울 강남구 언주로85길 13,(지번) 역삼동 722,02-562-1141,#none
68,에스오에스웨딩,"서울 강남구 도산대로 506 재정빌딩 302호,402호",(지번) 청담동 48-2,,http://www.sosweddinghall.com
69,센트레톡&카페톡,서울 강남구 역삼로25길 35 케이큐브 타워 m층,(지번) 역삼동 726-2,070-5030-3378,https://en-gb.facebook.com/centretalk
70,봉은사 예식장,서울 강남구 봉은사로 531,(지번) 삼성동 73,,#none
71,서울워터월드,서울 강남구 압구정동 386,,,#none
72,코엑스 그래머시,서울 강남구 영동대로 513 코엑스 1층,(지번) 삼성동 159,02-6002-2005,https://blog.naver.com/gramercycoex
73,브라이드밸리,서울 강남구 강남대로 262 캠코양재타워 지하1층,(지번) 도곡동 949-3,02-2058-0406,http://www.bridevalley.co.kr
74,JW 메리어트호텔 서울 그랜드볼룸,서울 서초구 신반포로 176 5층,(지번) 반포동 19-3,02-6282-6262,https://www.marriott.co.kr/hotels/travel/seljw-jw-marriott-hotel-seoul/
