,name,addr1,addr2,tel,urls
0,더컨벤션 신사,서울 강남구 강남대로 652,(지번) 신사동 504-11,02-6081-5000,#none
1,애일리하우스,"서울 강남구 압구정로11길 37-53 지하1층, 1,2층",(지번) 압구정동 379,02-515-7364,http://www.aileyhouse.kr
2,메종드비,"서울 강남구 논현로 842 지하1,2층",(지번) 신사동 599-4,02-3416-0020,http://www.maisondeb.co.kr/
3,벨라 청담,서울 강남구 압구정로46길 35 지하 1층,(지번) 신사동 642-20,02-540-8888,#none
4,비본웨딩,서울 강남구 논현로168길 36 안국빌딩 3층,(지번) 신사동 595-1,,http://cafe.naver.com/wedclub
5,W웨딩컨설팅,서울 강남구 논현로 842,(지번) 신사동 599,02-3444-0363,http://www.wearew.com
6,월드브라이들,서울 강남구 압구정로42길 11,(지번) 신사동 640,02-546-8046,http://blog.naver.com/worldbridal
7,서울워터월드,서울 강남구 압구정동 386,,,#none
8,더 리버사이드 호텔 웨딩홀,서울 서초구 강남대로107길 6 본관 7층,(지번) 잠원동 6-1,02-6710-1188,http://www.riversidehotel.co.kr/
9,마리아쥬스퀘어,서울 강남구 도산대로 318 SB타워 G층,(지번) 논현동 92,02-541-5007,http://www.mariagesquare.com
10,셀럽앤어셈,"서울 강남구 언주로 711 건설회관 본관 2층,지하1층, 별관 1,2층",(지번) 논현동 71-2,02-545-2222,http://www.fs-cna.com
11,슈슈몽드,서울 강남구 도산대로38길 30 1층,(지번) 논현동 72-7,031-8027-0055,https://www.chouchoumonde.co.kr/
12,토브헤세드,서울 강남구 도산대로38길 32,(지번) 논현동 72-8,02-516-2300,http://www.tovhesed.com
13,컨벤션헤리츠,서울 강남구 논현로 662,(지번) 논현동 215,02-536-4000,http://www.heritz.co.kr
14,온즈드롬크리에이티브,서울 강남구 언주로148길 5,(지번) 논현동 97-22,,#none
15,더채플앳청담,서울 강남구 선릉로 757 6층,(지번) 논현동 94-9,02-421-1121,http://www.thechapel.co.kr
16,제우스웨딩홀,서울 서초구 강남대로 577,(지번) 잠원동 28-10,,#none
17,이내유,서울 강남구 도산대로38길 30,(지번) 논현동 72-7,,#none
18,엘페르티,서울 서초구 강남대로 563,(지번) 잠원동 37-1,,#none
19,유모멘트,서울 강남구 선릉로145길 11 일신빌딩 2층,(지번) 논현동 99-32,,http://www.thechapel.co.kr
20,아넬로,서울 강남구 논현로 662,(지번) 논현동 215,02-536-4000,http://www.heritz.co.kr/
21,라온제나 강남,서울 강남구 학동로47길 5,(지번) 논현동 117-7,,http://라온제나강남.com
22,엘리에나호텔 웨딩홀,서울 강남구 논현로 645,(지번) 논현동 152,02-3443-5670,http://elienahotel.com/
