,name,addr1,addr2,tel,urls
0,노블발렌티 삼성점,서울 강남구 봉은사로 637,(지번) 삼성동 109-6,02-540-0711,http://www.noblevalenti.co.kr
1,더라빌,서울 강남구 봉은사로 531,(지번) 삼성동 73,02-541-8000,http://www.thelaville.com
2,더베일리하우스 삼성점,서울 강남구 영동대로 506,(지번) 삼성동 168-3,02-539-2956,http://www.baileyhouse.co.kr
3,소노펠리체컨벤션,서울 강남구 테헤란로87길 22 공항터미널 3층,(지번) 삼성동 159-6,02-2222-7401,http://www.sonofeliceconvention.com
4,더휴웨딩홀,서울 강남구 테헤란로 407 EK타워 2층,(지번) 삼성동 141-31,02-6188-0188,http://www.thehuewedding.com
5,아파트먼트99,서울 강남구 봉은사로68길 35-3,(지번) 삼성동 123-22,02-557-5456,http://apartment99.co.kr
6,그랜드인터컨티넨탈호텔웨딩홀,서울 강남구 테헤란로 521,(지번) 삼성동 159-8,,#none
7,코엑스 그래머시,서울 강남구 영동대로 513 코엑스 1층,(지번) 삼성동 159,02-6002-2005,https://blog.naver.com/gramercycoex
8,봉은사 예식장,서울 강남구 봉은사로 531,(지번) 삼성동 73,,#none
9,일반예식장,서울 강남구 봉은사로 637,(지번) 삼성동 109-6,,#none
10,웨딩순,서울 강남구 선릉로 578,(지번) 삼성동 112,,#none
11,김미파이브예식장,서울 강남구 영동대로 513,(지번) 삼성동 159,,#none
12,이유웨딩,서울 강남구 삼성로104길 14-3,(지번) 삼성동 152-57,,#none
13,스카이뷰 섬유센터웨딩홀,서울 강남구 테헤란로 518 17층,(지번) 대치동 944-31,02-528-4098,https://syouweddinghall.modoo.at
14,드레스가든,서울 강남구 영동대로 707,(지번) 청담동 71-8,02-512-1000,http://www.dressgarden.co.kr
15,빌라드지디 청담,서울 강남구 학동로 519,(지번) 청담동 73-4,02-542-7513,#none
16,그랜드힐컨벤션,서울 강남구 역삼로 607,(지번) 대치동 1004-1,02-6964-7889,http://www.grandhill.co.kr
17,노블발렌티 대치점,서울 강남구 영동대로 325 S타워 L층,(지번) 대치동 983-1,02-539-0400,https://noblevalentidaechi.co.kr/
18,더발렌티,서울 강남구 영동대로 728,(지번) 청담동 131-16,02-512-7897(팩스),http://thevalenti.kr
19,섬유센타,서울 강남구 테헤란로 518 섬유센타 17층,(지번) 대치동 944-31,02-528-4098,https://www.instagram.com/skyviewwedding/
20,라플레이스,서울 강남구 테헤란로 424,(지번) 대치동 891,02-6339-0466,#none
21,호텔리베라 웨딩홀,서울 강남구 영동대로 737,(지번) 청담동 53-7,,#none
22,에이치케이웨딩,서울 강남구 학동로 519,(지번) 청담동 73-4,02-542-7513,#none
23,트라디노이,서울 강남구 도곡로99길 16,(지번) 대치동 984,02-567-9916,https://www.instagram.com/tra_di__noi
24,프리마웨딩,서울 강남구 도산대로 536,(지번) 청담동 52-3,02-6006-9201,http://www.prima.co.kr/2005/wedding/wedding_main.asp
25,피에스타귀족 강남점,서울 강남구 테헤란로 406 샹제리제센터 1층,(지번) 대치동 889-5,02-501-7000,http://www.fiestawed.co.kr/
26,더청담,서울 강남구 도산대로 434,(지번) 청담동 4,02-518-8001,http://www.thecheongdam.com
